Date,Event,Song,Early? (Y/N)
08/23/24,Class of 2028 Photo,Fight Fight,N
08/23/24,Class of 2028 Photo,Blue & White,N
08/23/24,Class of 2028 Photo,Dance the Night,N
08/23/24,Class of 2028 Photo,Zing It!,N
08/23/24,Class of 2028 Photo,Raise Your Glass,N
08/23/24,Class of 2028 Photo,Devil,N
08/23/24,Class of 2028 Photo,Sail,N
08/23/24,Class of 2028 Photo,Freedom,N
08/23/24,Class of 2028 Photo,Overpass,N
09/29/24,Syracuse Field Hockey,Star Spangled Banner,N
09/29/24,Syracuse Field Hockey,Fight Fight,N
09/29/24,Syracuse Field Hockey,Blue & White,N
09/29/24,Syracuse Field Hockey,Runaway Baby,Y
09/29/24,Syracuse Field Hockey,HOT TO GO!,N
09/29/24,Syracuse Field Hockey,Dance the Night,N
09/29/24,Syracuse Field Hockey,That's What I Want,N
09/29/24,Syracuse Field Hockey,Applause,N
09/29/24,Syracuse Field Hockey,Fight Fight,N
09/29/24,Syracuse Field Hockey,Blue & White,N
09/29/24,Syracuse Field Hockey,Zing It!,N
09/29/24,Syracuse Field Hockey,Devil,N
09/29/24,Syracuse Field Hockey,That That,N
09/29/24,Syracuse Field Hockey,Fight Fight,N
09/29/24,Syracuse Field Hockey,Blue & White,N
09/29/24,Syracuse Field Hockey,Devil,N
09/29/24,Syracuse Field Hockey,Dear Old Duke,N
10/04/24,Countdown to Craziness,Fight Fight (Post-Intro),N
10/04/24,Countdown to Craziness,Break Your Heart,N
10/04/24,Countdown to Craziness,Uptown Funk,N
10/04/24,Countdown to Craziness,good 4 business,N
10/04/24,Countdown to Craziness,Uma Thurman,N
10/04/24,Countdown to Craziness,That's What I Want,N
10/04/24,Countdown to Craziness,Dance the Night,N
10/04/24,Countdown to Craziness,That That,N
10/04/24,Countdown to Craziness,HOT TO GO!,N
10/04/24,Countdown to Craziness,Runaway Baby,N
10/04/24,Countdown to Craziness,Fight Fight,N
10/04/24,Countdown to Craziness,Blue & White,N
10/04/24,Countdown to Craziness,About Damn Time,N
10/04/24,Countdown to Craziness,Freedom,Y
10/04/24,Countdown to Craziness,Overpass,N
10/04/24,Countdown to Craziness,Fight Fight,N
10/04/24,Countdown to Craziness,Calabria,Y
10/04/24,Countdown to Craziness,Devil,N
10/04/24,Countdown to Craziness,Devil,N
10/04/24,Countdown to Craziness,Mortal,N
10/04/24,Countdown to Craziness,Somebody Told Me,Y
10/04/24,Countdown to Craziness,Fight Fight,N
10/04/24,Countdown to Craziness,Sail,Y
10/04/24,Countdown to Craziness,Everytime,N
10/04/24,Countdown to Craziness,Pumpkin,N
10/04/24,Countdown to Craziness,Devil,N
10/04/24,Countdown to Craziness,Dear Old Duke,N
10/26/24,ACC Huddle,Fight Fight,N
10/26/24,ACC Huddle,Blue & White,Y
10/26/24,ACC Huddle,Zing It!,Y
10/26/24,ACC Huddle,Devil,Y
10/26/24,ACC Huddle,Devil,Y
10/26/24,ACC Huddle,HOT TO GO!,Y
11/01/24,Notre Dame Men's Soccer,Lucky Strike,N
11/01/24,Notre Dame Men's Soccer,Star Spangled Banner,N
11/01/24,Notre Dame Men's Soccer,Runaway Baby,N
11/01/24,Notre Dame Men's Soccer,HOT TO GO!,Y
11/01/24,Notre Dame Men's Soccer,Blue & White,N
11/01/24,Notre Dame Men's Soccer,That's What I Want,N
11/01/24,Notre Dame Men's Soccer,Bad Romance,N
11/01/24,Notre Dame Men's Soccer,DJamite,N
11/01/24,Notre Dame Men's Soccer,Overpass,N
11/01/24,Notre Dame Men's Soccer,Blue & White,N
11/01/24,Notre Dame Men's Soccer,Dance the Night,N
11/01/24,Notre Dame Men's Soccer,Blue & White,N
11/01/24,Notre Dame Men's Soccer,Seven Nation,N
11/01/24,Notre Dame Men's Soccer,Vehicle,N
11/01/24,Notre Dame Men's Soccer,Uma Thurman,N
11/01/24,Notre Dame Men's Soccer,Sail,N
11/01/24,Notre Dame Men's Soccer,Everytime,N
11/01/24,Notre Dame Men's Soccer,Pumpkin,N
11/01/24,Notre Dame Men's Soccer,Blue & White,N
11/01/24,Notre Dame Men's Soccer,Blue & White,N
11/01/24,Notre Dame Men's Soccer,Devil,N
11/01/24,Notre Dame Men's Soccer,Dear Old Duke,N
12/06/24,UNC WSOC Final Four,Fight Fight,N
12/06/24,UNC WSOC Final Four,Devil,N
12/06/24,UNC WSOC Final Four,Pumpkin,N
12/06/24,UNC WSOC Final Four,Blue & White,N
12/06/24,UNC WSOC Final Four,Devil,N
12/06/24,UNC WSOC Final Four,Fight Fight,N
12/06/24,UNC WSOC Final Four,Blue & White,N
12/06/24,UNC WSOC Final Four,Dear Old Duke,N
01/01/25,Gator Bowl Pep Rally,Fight Fight,N
01/01/25,Gator Bowl Pep Rally,Blue & White,N
01/01/25,Gator Bowl Pep Rally,Zing It!,N
01/01/25,Gator Bowl Pep Rally,Devil,N
01/01/25,Gator Bowl Pep Rally,Everytime,N
01/01/25,Gator Bowl Pep Rally,Fight Fight,N
01/01/25,Gator Bowl Pep Rally,Blue & White,N