Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N)
11/04/24,Maine,MBB,Applause,Pregame,n/a,n/a,0-0,N
11/04/24,Maine,MBB,Somebody Told Me,Pregame,n/a,n/a,0-0,N
11/04/24,Maine,MBB,DJamite,Pregame,n/a,n/a,0-0,N
11/04/24,Maine,MBB,Bad Romance,Pregame,n/a,n/a,0-0,N
11/04/24,Maine,MBB,Can't,Pregame,n/a,n/a,0-0,N
11/04/24,Maine,MBB,Locked Out of Heaven,Pregame,n/a,n/a,0-0,N
11/04/24,Maine,MBB,Blue & White,Pregame,n/a,n/a,0-0,N
11/04/24,Maine,MBB,Can't,Pregame,n/a,n/a,0-0,N
11/04/24,Maine,MBB,Zing It!,Pregame,n/a,n/a,0-0,N
11/04/24,Maine,MBB,Devil,Pregame,n/a,n/a,0-0,N
11/04/24,Maine,MBB,Mortal,Pregame,n/a,n/a,0-0,N
11/04/24,Maine,MBB,Fight Fight,1H,<16:00,14:58,10-6,Y
11/04/24,Maine,MBB,Runaway Baby,1H,<12:00,12:25,26-9,Y
11/04/24,Maine,MBB,Uptown Funk,1H,<8:00,7:54,31-18,N
11/04/24,Maine,MBB,Spell,1H,<4:00,4:13,35-25,N
11/04/24,Maine,MBB,Sail,1H,n/a,1:28,42-13,N
11/04/24,Maine,MBB,Blue & White,Halftime,n/a,n/a,44-33,N
11/04/24,Maine,MBB,Can't,Halftime,n/a,n/a,44-33,N
11/04/24,Maine,MBB,Love Runs Out,Halftime,n/a,n/a,44-33,N
11/04/24,Maine,MBB,Wipeout,2H,<16:00,15:33,56-39,N
11/04/24,Maine,MBB,D. Ditty,2H,<16:00,15:33,56-39,N
11/04/24,Maine,MBB,Zing It!,2H,n/a,13:32,60-41,N
11/04/24,Maine,MBB,T. gogo,2H,n/a,13:32,60-41,N
11/04/24,Maine,MBB,HOT TO GO!,2H,<12:00,11:36,64-43,N
11/04/24,Maine,MBB,That's What I Want,2H,<8:00,7:47,72-50,Y
11/04/24,Maine,MBB,Everytime,2H,<4:00,3:28,85-56,N
11/04/24,Maine,MBB,Pumpkin,2H,<4:00,3:28,85-56,N
11/04/24,Maine,MBB,Devil,Postgame,n/a,n/a,96-62,N
11/04/24,Maine,MBB,Dear Old Duke,Postgame,n/a,n/a,96-62,N
11/14/24,Dayton,WBB,Blue & White,Pregame,n/a,n/a,0-0,N
11/14/24,Dayton,WBB,Scream,Pregame,n/a,n/a,0-0,N
11/14/24,Dayton,WBB,Runaway Baby,Pregame,n/a,n/a,0-0,N
11/14/24,Dayton,WBB,Can't,Pregame,n/a,n/a,0-0,N
11/14/24,Dayton,WBB,That That,Pregame,n/a,n/a,0-0,N
11/14/24,Dayton,WBB,Zing It!,Pregame,n/a,n/a,0-0,N
11/14/24,Dayton,WBB,Devil,Pregame,n/a,n/a,0-0,N
11/14/24,Dayton,WBB,Star Spangled Banner,Pregame,n/a,n/a,0-0,N
11/14/24,Dayton,WBB,Mortal,Pregame,n/a,n/a,0-0,Y
11/14/24,Dayton,WBB,Zing It!,1Q-2Q Break,n/a,n/a,17-10,N
11/14/24,Dayton,WBB,Blue & White,Halftime,n/a,n/a,37-23,N
11/14/24,Dayton,WBB,Bad Romance,Halftime,n/a,n/a,37-23,N
11/14/24,Dayton,WBB,Can't,Halftime,n/a,n/a,37-23,N
11/14/24,Dayton,WBB,Spell,3Q-4Q Break,n/a,n/a,62-37,N
11/14/24,Dayton,WBB,Wipeout,4Q,<5:00,4:46,74-44,N
11/14/24,Dayton,WBB,D. Ditty,4Q,<5:00,4:46,74-44,N
11/14/24,Dayton,WBB,Devil,Postgame,n/a,n/a,84-49,N
11/14/24,Dayton,WBB,Dear Old Duke,Postgame,n/a,n/a,84-49,N
11/16/24,Wofford,MBB,Uma Thurman,Pregame,n/a,n/a,0-0,N
11/16/24,Wofford,MBB,Lucky Strike,Pregame,n/a,n/a,0-0,N
11/16/24,Wofford,MBB,Overpass,Pregame,n/a,n/a,0-0,N
11/16/24,Wofford,MBB,DJamite,Pregame,n/a,n/a,0-0,N
11/16/24,Wofford,MBB,Uptown Funk,Pregame,n/a,n/a,0-0,N
11/16/24,Wofford,MBB,Blue & White,Pregame,n/a,n/a,0-0,N
11/16/24,Wofford,MBB,Can't,Pregame,n/a,n/a,0-0,N
11/16/24,Wofford,MBB,Applause,Pregame,n/a,n/a,0-0,N
11/16/24,Wofford,MBB,Runaway Baby,Pregame,n/a,n/a,0-0,N
11/16/24,Wofford,MBB,Stacy's Mom,Pregame,n/a,n/a,0-0,N
11/16/24,Wofford,MBB,Can't,Pregame,n/a,n/a,0-0,N
11/16/24,Wofford,MBB,Zing It!,Pregame,n/a,n/a,0-0,N
11/16/24,Wofford,MBB,Devil,Pregame,n/a,n/a,0-0,N
11/16/24,Wofford,MBB,Mortal,Pregame,n/a,n/a,0-0,N
11/16/24,Wofford,MBB,Fight Fight,1H,<16:00,15:39,9-2,N
11/16/24,Wofford,MBB,Blue & White,1H,<16:00,15:39,9-2,Y
11/16/24,Wofford,MBB,Dance the Night,1H,<12:00,11:37,19-5,N
11/16/24,Wofford,MBB,That That,1H,<8:00,6:45,33-7,Y
11/16/24,Wofford,MBB,Spell,1H,<4:00,3:42,43-9,N
11/16/24,Wofford,MBB,Sail,1H,<4:00,3:42,43-9,N
11/16/24,Wofford,MBB,Blue & White,Halftime,n/a,n/a,51-14,N
11/16/24,Wofford,MBB,Can't,Halftime,n/a,n/a,51-14,N
11/16/24,Wofford,MBB,Wipeout,2H,<16:00,15:40,61-17,N
11/16/24,Wofford,MBB,D. Ditty,2H,<16:00,15:40,61-17,N
11/16/24,Wofford,MBB,Zing It!,2H,<12:00,12:24,66-20,N
11/16/24,Wofford,MBB,T. gogo,2H,<12:00,12:24,66-20,N
11/16/24,Wofford,MBB,HOT TO GO!,2H,n/a,11:13,69-20,N
11/16/24,Wofford,MBB,That's What I Want,2H,<8:00,7:26,72-24,Y
11/16/24,Wofford,MBB,Everytime,2H,<4:00,2:38,80-32,N
11/16/24,Wofford,MBB,Pumpkin,2H,<4:00,2:38,80-32,N
11/16/24,Wofford,MBB,Devil,Postgame,n/a,n/a,86-35,N
11/16/24,Wofford,MBB,Dear Old Duke,Postgame,n/a,n/a,86-35,N
11/23/24,Virginia Tech,FB,Fight Fight,Devil Walk,n/a,n/a,0-0,N
11/23/24,Virginia Tech,FB,Blue & White,Devil Walk,n/a,n/a,0-0,N
11/23/24,Virginia Tech,FB,Zing It!,Devil Walk,n/a,n/a,0-0,N
11/23/24,Virginia Tech,FB,Devil,Devil Walk,n/a,n/a,0-0,N
11/23/24,Virginia Tech,FB,Fight Fight,Pregame,n/a,n/a,0-0,N
11/23/24,Virginia Tech,FB,Blue & White,Pregame,n/a,n/a,0-0,N
11/23/24,Virginia Tech,FB,Star Spangled Banner,Pregame,n/a,n/a,0-0,N
11/23/24,Virginia Tech,FB,The Whip,Pregame,n/a,n/a,0-0,N
11/23/24,Virginia Tech,FB,The Whip,1Q,n/a,n/a,6-0,N
11/23/24,Virginia Tech,FB,Blue & White,1Q,n/a,12:55,7-0,N
11/23/24,Virginia Tech,FB,The Whip,1Q,n/a,8:40,13-0,N
11/23/24,Virginia Tech,FB,Blue & White,1Q,n/a,8:40,14-0,N
11/23/24,Virginia Tech,FB,Fight Fight (Intro),1Q,n/a,6:30,14-0,Y
11/23/24,Virginia Tech,FB,Blue & White,1Q,n/a,0:35,14-7,Y
11/23/24,Virginia Tech,FB,Uptown Funk,2Q,n/a,15:00,14-7,Y
11/23/24,Virginia Tech,FB,Uma Thurman,2Q,n/a,12:45,14-14,Y
11/23/24,Virginia Tech,FB,Fight Fight (Intro),2Q,n/a,6:04,14-17,N
11/23/24,Virginia Tech,FB,The Whip,2Q,n/a,5:41,20-17,N
11/23/24,Virginia Tech,FB,Blue & White,2Q,n/a,5:41,21-17,N
11/23/24,Virginia Tech,FB,Locked Out of Heaven,Halftime,n/a,n/a,21-17,N
11/23/24,Virginia Tech,FB,Dear Old Duke,Halftime,n/a,n/a,21-17,N
11/23/24,Virginia Tech,FB,Bad Romance,Halftime,n/a,n/a,21-17,N
11/23/24,Virginia Tech,FB,Fight Fight (Post-Intro),Halftime,n/a,n/a,21-17,N
11/23/24,Virginia Tech,FB,Fight Fight (Intro),3Q,n/a,14:07,21-17,N
11/23/24,Virginia Tech,FB,Fight Fight (Intro),3Q,n/a,13:22,21-17,N
11/23/24,Virginia Tech,FB,Fight Fight (Intro),3Q,n/a,12:07,21-17,N
11/23/24,Virginia Tech,FB,The Whip,3Q,n/a,11:52,27-17,N
11/23/24,Virginia Tech,FB,Blue & White,3Q,n/a,11:52,28-17,N
11/23/24,Virginia Tech,FB,Devil,3Q,n/a,6:26,28-17,Y
11/23/24,Virginia Tech,FB,Fight Fight (Intro),3Q,n/a,5:38,28-17,N
11/23/24,Virginia Tech,FB,Blue & White,3Q,n/a,3:24,31-17,N
11/23/24,Virginia Tech,FB,That's What I Want,3Q,n/a,3:24,31-17,Y
11/23/24,Virginia Tech,FB,Pumpkin,4Q,n/a,11:16,31-20,N
11/23/24,Virginia Tech,FB,That That,4Q,n/a,8:21,31-28,Y
11/23/24,Virginia Tech,FB,Fight Fight (Intro),4Q,n/a,4:08,31-28,N
11/23/24,Virginia Tech,FB,Fight Fight (Intro),4Q,n/a,2:38,31-28,N
11/23/24,Virginia Tech,FB,Everytime,4Q,n/a,2:00,31-28,N
11/23/24,Virginia Tech,FB,Pumpkin,4Q,n/a,2:00,31-28,N
11/23/24,Virginia Tech,FB,Fight Fight (Intro),4Q,n/a,1:53,31-28,N
11/23/24,Virginia Tech,FB,Devil,4Q,n/a,1:17,31-28,N
11/23/24,Virginia Tech,FB,Seven Nation,4Q,n/a,1:06,31-28,Y
11/23/24,Virginia Tech,FB,Devil,Postgame,n/a,n/a,31-28,N
11/23/24,Virginia Tech,FB,Dear Old Duke,Postgame,n/a,n/a,31-28,N