Date,Opponent,Type,Song,Period,Time,Score (Duke-Opponent),Early? (Y/N),Event,Media
10/19/24,Lincoln (Pa.),MBB,Zing It!,Pregame,,0-0,N,,
10/19/24,Lincoln (Pa.),MBB,Blue & White,1H,15:02,14-11,N,,<16:00
10/19/24,Lincoln (Pa.),MBB,Fight Fight,1H,15:02,14-11,N,,<16:00
10/19/24,Lincoln (Pa.),MBB,Mortal,Pregame,,0-0,Y,,
10/19/24,Lincoln (Pa.),MBB,Devil,Pregame,,0-0,N,,
10/19/24,Lincoln (Pa.),MBB,Zing It!,Pregame,,0-0,N,,
10/19/24,Lincoln (Pa.),MBB,Can't,Pregame,,0-0,N,,
10/19/24,Lincoln (Pa.),MBB,Applause,Pregame,,0-0,N,,
10/19/24,Lincoln (Pa.),MBB,Blue & White,Pregame,,0-0,N,,
10/19/24,Lincoln (Pa.),MBB,Uma Thurman,Pregame,,0-0,N,,
10/19/24,Lincoln (Pa.),MBB,Raise Your Glass,Pregame,,0-0,N,,
10/19/24,Lincoln (Pa.),MBB,About Damn Time,Pregame,,0-0,N,,
10/19/24,Lincoln (Pa.),MBB,Scream,Pregame,,0-0,N,,
10/19/24,Lincoln (Pa.),MBB,Devil,Postgame,,107-56,N,,
10/19/24,Lincoln (Pa.),MBB,Can't,Pregame,,0-0,N,,
10/19/24,Lincoln (Pa.),MBB,Calabria,1H,15:02,14-11,N,,<16:00
10/19/24,Lincoln (Pa.),MBB,Dear Old Duke,Postgame,,107-56,N,,
10/19/24,Lincoln (Pa.),MBB,Applause,Pregame,,0-0,N,,
10/19/24,Lincoln (Pa.),MBB,DJamite,Pregame,,0-0,N,,
10/26/24,SMU,FB,Fight Fight (Intro),3Q,3:36,7-21,N,,
10/26/24,SMU,FB,Fight Fight,Devil Walk,,0-0,N,,
10/26/24,SMU,FB,The Whip,3Q,2:11,13-21,N,,
10/26/24,SMU,FB,Fight Fight (Intro),4Q,14:00,13-21,N,,
10/26/24,SMU,FB,Fight Fight (Intro),4Q,12:33,13-21,N,,
10/26/24,SMU,FB,Fight Fight (Intro),4Q,10:26,13-21,N,,
10/26/24,SMU,FB,The Whip,4Q,9:02,19-21,N,,
10/26/24,SMU,FB,The Whip,4Q,9:02,21-21,N,,
10/26/24,SMU,FB,Devil,4Q,8:35,21-21,N,,
10/26/24,SMU,FB,Devil,4Q,3:57,21-21,N,,
10/26/24,SMU,FB,Pumpkin,4Q,2:43,21-21,Y,,
10/26/24,SMU,FB,Everytime,4Q,2:00,21-21,N,,
10/26/24,SMU,FB,Pumpkin,4Q,2:00,21-21,N,,
10/26/24,SMU,FB,Devil,4Q,1:17,21-21,Y,,
10/26/24,SMU,FB,The Whip,1OT,,27-28,N,,
10/26/24,SMU,FB,Dear Old Duke,Postgame,,27-28,N,,
10/26/24,SMU,FB,Fight Fight (Intro),3Q,2:56,7-21,N,,
10/26/24,,,HOT TO GO!,,,,Y,ACC Huddle,
10/26/24,,,Devil,,,,Y,ACC Huddle,
10/26/24,,,Devil,,,,Y,ACC Huddle,
10/26/24,,,Zing It!,,,,Y,ACC Huddle,
10/26/24,,,Blue & White,,,,Y,ACC Huddle,
10/26/24,,,Fight Fight,,,,N,ACC Huddle,
10/26/24,SMU,FB,Blue & White,Devil Walk,,0-0,N,,
10/26/24,SMU,FB,Zing It!,Devil Walk,,0-0,N,,
10/26/24,SMU,FB,Runaway Baby,4Q,9:02,21-21,N,,
10/26/24,SMU,FB,Fight Fight,Pregame,,0-0,N,,
10/26/24,SMU,FB,Devil,Devil Walk,,0-0,N,,
10/26/24,SMU,FB,Locked Out of Heaven,Halftime,,7-14,N,,
10/26/24,SMU,FB,Die with a Smile,Halftime,,7-14,N,,
10/26/24,SMU,FB,Bad Romance,Halftime,,7-14,N,,
10/26/24,SMU,FB,Fight Fight (Intro),3Q,8:15,7-14,N,,
10/26/24,SMU,FB,Fight Fight (Intro),3Q,7:46,7-14,N,,
10/26/24,SMU,FB,Overpass,3Q,5:40,7-14,Y,,
10/26/24,SMU,FB,Fight Fight (Intro),3Q,4:20,7-21,N,,
10/26/24,SMU,FB,Uptown Funk,2Q,9:19,7-7,Y,,
10/26/24,SMU,FB,That That,1Q,2:38,7-0,Y,,
10/26/24,SMU,FB,Blue & White,1Q,2:38,7-0,N,,
10/26/24,SMU,FB,The Whip,1Q,2:38,6-0,N,,
10/26/24,SMU,FB,Fight Fight (Intro),2Q,12:18,7-7,N,,
10/26/24,SMU,FB,Fight Fight (Intro),1Q,4:37,0-0,N,,
10/26/24,SMU,FB,Blue & White,Pregame,,0-0,N,,
10/26/24,SMU,FB,Zing It!,Pregame,,0-0,N,,
10/26/24,SMU,FB,Fight Fight (Intro),1Q,3:13,0-0,N,,
10/26/24,SMU,FB,Star Spangled Banner,Pregame,,0-0,N,,
10/26/24,SMU,FB,Dear Old Duke,Pregame,,0-0,N,,
10/26/24,SMU,FB,Devil,Pregame,,0-0,N,,
10/26/24,SMU,FB,Devil,1Q,10:47,0-0,N,,
10/26/24,SMU,FB,Fight Fight (Intro),1Q,9:11,0-0,N,,
10/26/24,SMU,FB,Uma Thurman,1Q,5:45,0-0,Y,,
10/26/24,SMU,FB,Fight Fight (Intro),1Q,4:53,0-0,N,,
10/26/24,SMU,FB,The Whip,Pregame,,0-0,N,,
11/01/24,,,That's What I Want,,,,N,Notre Dame Men's Soccer,
11/01/24,,,Lucky Strike,,,,N,Notre Dame Men's Soccer,
11/01/24,,,Star Spangled Banner,,,,N,Notre Dame Men's Soccer,
11/01/24,,,Runaway Baby,,,,N,Notre Dame Men's Soccer,
11/01/24,,,HOT TO GO!,,,,Y,Notre Dame Men's Soccer,
11/01/24,,,Blue & White,,,,N,Notre Dame Men's Soccer,
11/01/24,,,Bad Romance,,,,N,Notre Dame Men's Soccer,
11/01/24,,,Sail,,,,N,Notre Dame Men's Soccer,
11/01/24,,,Overpass,,,,N,Notre Dame Men's Soccer,
11/01/24,,,Vehicle,,,,N,Notre Dame Men's Soccer,
11/01/24,,,DJamite,,,,N,Notre Dame Men's Soccer,
11/01/24,,,Everytime,,,,N,Notre Dame Men's Soccer,
11/01/24,,,Pumpkin,,,,N,Notre Dame Men's Soccer,
11/01/24,,,Blue & White,,,,N,Notre Dame Men's Soccer,
11/01/24,,,Blue & White,,,,N,Notre Dame Men's Soccer,
11/01/24,,,Uma Thurman,,,,N,Notre Dame Men's Soccer,
11/01/24,,,Dear Old Duke,,,,N,Notre Dame Men's Soccer,
11/01/24,,,Seven Nation (Stacked),,,,N,Notre Dame Men's Soccer,
11/01/24,,,Blue & White,,,,N,Notre Dame Men's Soccer,
11/01/24,,,Dance the Night,,,,N,Notre Dame Men's Soccer,
11/01/24,,,Blue & White,,,,N,Notre Dame Men's Soccer,
11/01/24,,,Devil,,,,N,Notre Dame Men's Soccer,
11/04/24,Maine,MBB,Applause,Pregame,,0-0,N,,
11/04/24,Maine,MBB,Somebody Told Me,Pregame,,0-0,N,,
11/04/24,Maine,MBB,DJamite,Pregame,,0-0,N,,
11/04/24,Maine,MBB,Bad Romance,Pregame,,0-0,N,,
11/04/24,Maine,MBB,Can't,Pregame,,0-0,N,,
11/04/24,Maine,MBB,Locked Out of Heaven,Pregame,,0-0,N,,
11/04/24,Maine,MBB,Blue & White,Pregame,,0-0,N,,
11/04/24,Maine,MBB,Can't,Pregame,,0-0,N,,
11/04/24,Maine,MBB,Zing It!,Pregame,,0-0,N,,
11/04/24,Maine,MBB,Fight Fight,1H,14:58,10-6,Y,,<16:00
11/04/24,Maine,MBB,Mortal,Pregame,,0-0,N,,
11/04/24,Maine,MBB,Devil,Postgame,,96-62,N,,
11/04/24,Maine,MBB,Pumpkin,2H,3:28,85-56,N,,<4:00
11/04/24,Maine,MBB,Everytime,2H,3:28,85-56,N,,<4:00
11/04/24,Maine,MBB,That's What I Want,2H,7:47,72-50,Y,,<8:00
11/04/24,Maine,MBB,HOT TO GO!,2H,11:36,64-43,N,,<12:00
11/04/24,Maine,MBB,T. gogo,2H,13:32,60-41,N,,
11/04/24,Maine,MBB,Zing It!,2H,13:32,60-41,N,,
11/04/24,Maine,MBB,Devil,Pregame,,0-0,N,,
11/04/24,Maine,MBB,D. Ditty,2H,15:33,56-39,N,,<16:00
11/04/24,Maine,MBB,Love Runs Out,Halftime,,44-33,N,,
11/04/24,Maine,MBB,Can't,Halftime,,44-33,N,,
11/04/24,Maine,MBB,Blue & White,Halftime,,44-33,N,,
11/04/24,Maine,MBB,Sail,1H,1:28,42-13,N,,
11/04/24,Maine,MBB,Spell,1H,4:13,35-25,N,,<4:00
11/04/24,Maine,MBB,Uptown Funk,1H,7:54,31-18,N,,<8:00
11/04/24,Maine,MBB,Runaway Baby,1H,12:25,26-9,Y,,<12:00
11/04/24,Maine,MBB,Wipeout,2H,15:33,56-39,N,,<16:00
11/04/24,Maine,MBB,Dear Old Duke,Postgame,,96-62,N,,
11/14/24,Dayton,WBB,Dear Old Duke,Postgame,,84-49,N,,
11/14/24,Dayton,WBB,Wipeout,4Q,4:46,74-44,N,,<5:00
11/14/24,Dayton,WBB,Devil,Postgame,,84-49,N,,
11/14/24,Dayton,WBB,D. Ditty,4Q,4:46,74-44,N,,<5:00
11/14/24,Dayton,WBB,Spell,3Q-4Q Break,,62-37,N,,
11/14/24,Dayton,WBB,Can't,Halftime,,37-23,N,,
11/14/24,Dayton,WBB,Bad Romance,Halftime,,37-23,N,,
11/14/24,Dayton,WBB,Zing It!,1Q-2Q Break,,17-10,N,,
11/14/24,Dayton,WBB,Mortal,Pregame,,0-0,Y,,
11/14/24,Dayton,WBB,Blue & White,Halftime,,37-23,N,,
11/14/24,Dayton,WBB,Devil,Pregame,,0-0,N,,
11/14/24,Dayton,WBB,Zing It!,Pregame,,0-0,N,,
11/14/24,Dayton,WBB,That That,Pregame,,0-0,N,,
11/14/24,Dayton,WBB,Can't,Pregame,,0-0,N,,
11/14/24,Dayton,WBB,Runaway Baby,Pregame,,0-0,N,,
11/14/24,Dayton,WBB,Scream,Pregame,,0-0,N,,
11/14/24,Dayton,WBB,Blue & White,Pregame,,0-0,N,,
11/14/24,Dayton,WBB,Star Spangled Banner,Pregame,,0-0,N,,
11/16/24,Wofford,MBB,Wipeout,2H,15:40,61-17,N,,<16:00
11/16/24,Wofford,MBB,Spell,1H,3:42,43-9,N,,<4:00
11/16/24,Wofford,MBB,Sail,1H,3:42,43-9,N,,<4:00
11/16/24,Wofford,MBB,Blue & White,Halftime,,51-14,N,,
11/16/24,Wofford,MBB,Can't,Halftime,,51-14,N,,
11/16/24,Wofford,MBB,D. Ditty,2H,15:40,61-17,N,,<16:00
11/16/24,Wofford,MBB,That That,1H,6:45,33-7,Y,,<8:00
11/16/24,Wofford,MBB,T. gogo,2H,12:24,66-20,N,,<12:00
11/16/24,Wofford,MBB,Dear Old Duke,Postgame,,86-35,N,,
11/16/24,Wofford,MBB,Devil,Postgame,,86-35,N,,
11/16/24,Wofford,MBB,Pumpkin,2H,2:38,80-32,N,,<4:00
11/16/24,Wofford,MBB,Everytime,2H,2:38,80-32,N,,<4:00
11/16/24,Wofford,MBB,Dance the Night,1H,11:37,19-5,N,,<12:00
11/16/24,Wofford,MBB,Zing It!,2H,12:24,66-20,N,,<12:00
11/16/24,Wofford,MBB,Blue & White,1H,15:39,9-2,Y,,<16:00
11/16/24,Wofford,MBB,Can't,Pregame,,0-0,N,,
11/16/24,Wofford,MBB,Mortal,Pregame,,0-0,N,,
11/16/24,Wofford,MBB,Devil,Pregame,,0-0,N,,
11/16/24,Wofford,MBB,Zing It!,Pregame,,0-0,N,,
11/16/24,Wofford,MBB,Can't,Pregame,,0-0,N,,
11/16/24,Wofford,MBB,Stacy's Mom,Pregame,,0-0,N,,
11/16/24,Wofford,MBB,Runaway Baby,Pregame,,0-0,N,,
11/16/24,Wofford,MBB,Applause,Pregame,,0-0,N,,
11/16/24,Wofford,MBB,That's What I Want,2H,7:26,72-24,Y,,<8:00
11/16/24,Wofford,MBB,Blue & White,Pregame,,0-0,N,,
11/16/24,Wofford,MBB,Uptown Funk,Pregame,,0-0,N,,
11/16/24,Wofford,MBB,DJamite,Pregame,,0-0,N,,
11/16/24,Wofford,MBB,Overpass,Pregame,,0-0,N,,
11/16/24,Wofford,MBB,Lucky Strike,Pregame,,0-0,N,,
11/16/24,Wofford,MBB,Uma Thurman,Pregame,,0-0,N,,
11/16/24,Wofford,MBB,Fight Fight,1H,15:39,9-2,N,,<16:00
11/16/24,Wofford,MBB,HOT TO GO!,2H,11:13,69-20,N,,
11/23/24,Virginia Tech,FB,Dear Old Duke,Postgame,,31-28,N,,
11/23/24,Virginia Tech,FB,Blue & White,Devil Walk,,0-0,N,,
11/23/24,Virginia Tech,FB,Seven Nation,4Q,1:06,31-28,Y,,
11/23/24,Virginia Tech,FB,Devil,4Q,1:17,31-28,N,,
11/23/24,Virginia Tech,FB,Fight Fight (Intro),4Q,1:53,31-28,N,,
11/23/24,Virginia Tech,FB,Pumpkin,4Q,2:00,31-28,N,,
11/23/24,Virginia Tech,FB,Everytime,4Q,2:00,31-28,N,,
11/23/24,Virginia Tech,FB,Fight Fight (Intro),4Q,2:38,31-28,N,,
11/23/24,Virginia Tech,FB,Fight Fight (Intro),4Q,4:08,31-28,N,,
11/23/24,Virginia Tech,FB,That That,4Q,8:21,31-28,Y,,
11/23/24,Virginia Tech,FB,Pumpkin,4Q,11:16,31-20,N,,
11/23/24,Virginia Tech,FB,Fight Fight,Devil Walk,,0-0,N,,
11/23/24,Virginia Tech,FB,That's What I Want,3Q,3:24,31-17,Y,,
11/23/24,Virginia Tech,FB,Blue & White,3Q,3:24,31-17,N,,
11/23/24,Virginia Tech,FB,Fight Fight (Intro),3Q,5:38,28-17,N,,
11/23/24,Virginia Tech,FB,Devil,3Q,6:26,28-17,Y,,
11/23/24,Virginia Tech,FB,Blue & White,3Q,11:52,28-17,N,,
11/23/24,Virginia Tech,FB,The Whip,3Q,11:52,27-17,N,,
11/23/24,Virginia Tech,FB,Fight Fight (Intro),3Q,12:07,21-17,N,,
11/23/24,Virginia Tech,FB,Fight Fight (Post-Intro),Halftime,,21-17,N,,
11/23/24,Virginia Tech,FB,Fight Fight (Intro),3Q,13:22,21-17,N,,
11/23/24,Virginia Tech,FB,Bad Romance,Halftime,,21-17,N,,
11/23/24,Virginia Tech,FB,Locked Out of Heaven,Halftime,,21-17,N,,
11/23/24,Virginia Tech,FB,Zing It!,Devil Walk,,0-0,N,,
11/23/24,Virginia Tech,FB,Devil,Devil Walk,,0-0,N,,
11/23/24,Virginia Tech,FB,Fight Fight,Pregame,,0-0,N,,
11/23/24,Virginia Tech,FB,Blue & White,Pregame,,0-0,N,,
11/23/24,Virginia Tech,FB,Star Spangled Banner,Pregame,,0-0,N,,
11/23/24,Virginia Tech,FB,The Whip,Pregame,,0-0,N,,
11/23/24,Virginia Tech,FB,Devil,Postgame,,31-28,N,,
11/23/24,Virginia Tech,FB,The Whip,1Q,,6-0,N,,
11/23/24,Virginia Tech,FB,Dear Old Duke,Halftime,,21-17,N,,
11/23/24,Virginia Tech,FB,Blue & White,1Q,12:55,7-0,N,,
11/23/24,Virginia Tech,FB,Blue & White,1Q,8:40,14-0,N,,
11/23/24,Virginia Tech,FB,Fight Fight (Intro),1Q,6:30,14-0,Y,,
11/23/24,Virginia Tech,FB,Blue & White,1Q,0:35,14-7,Y,,
11/23/24,Virginia Tech,FB,Uptown Funk,2Q,15:00,14-7,Y,,
11/23/24,Virginia Tech,FB,Uma Thurman,2Q,12:45,14-14,Y,,
11/23/24,Virginia Tech,FB,Fight Fight (Intro),2Q,6:04,14-17,N,,
11/23/24,Virginia Tech,FB,The Whip,2Q,5:41,20-17,N,,
11/23/24,Virginia Tech,FB,Blue & White,2Q,5:41,21-17,N,,
11/23/24,Virginia Tech,FB,The Whip,1Q,8:40,13-0,N,,
11/23/24,Virginia Tech,FB,Fight Fight (Intro),3Q,14:07,21-17,N,,
12/04/24,Auburn,MBB,Blue & White,2H,0:15,81-76,N,,
12/04/24,Auburn,MBB,Seven Nation,Halftime,,43-36,N,,
12/04/24,Auburn,MBB,Industry Baby,2H,2:51,77-72,N,,
12/04/24,Auburn,MBB,Devil,Postgame,,84-78,N,,
12/04/24,Auburn,MBB,Mortal,Pregame,,0-0,Y,,
12/04/24,Auburn,MBB,Zing It!,1H,16:18,2-13,N,,<16:00
12/04/24,Auburn,MBB,Fight Fight,1H,11:37,10-15,N,,<12:00
12/04/24,Auburn,MBB,Blue & White,1H,11:37,10-15,N,,<12:00
12/04/24,Auburn,MBB,Fire,1H,7:39,21-22,Y,,<8:00
12/04/24,Auburn,MBB,Spell,1H,3:55,32-32,N,,<4:00
12/04/24,Auburn,MBB,Sail,1H,3:55,32-32,N,,<4:00
12/04/24,Auburn,MBB,Fight Fight,2H,0:15,81-76,N,,
12/04/24,Auburn,MBB,Blue & White,Halftime,,43-36,N,,
12/04/24,Auburn,MBB,Wipeout,2H,16:18,54-42,N,,<16:00
12/04/24,Auburn,MBB,D. Ditty,2H,16:18,54-42,N,,<16:00
12/04/24,Auburn,MBB,Zing It!,2H,11:48,58-53,N,,<12:00
12/04/24,Auburn,MBB,T. gogo,2H,11:48,58-53,N,,<12:00
12/04/24,Auburn,MBB,HOT TO GO!,2H,9:19,63-56,N,,
12/04/24,Auburn,MBB,Runaway Baby,2H,7:52,66-61,N,,<8:00
12/04/24,Auburn,MBB,Everytime,2H,3:52,73-68,N,,<4:00
12/04/24,Auburn,MBB,Pumpkin,2H,3:52,73-68,N,,<4:00
12/04/24,Auburn,MBB,Can't,Halftime,,43-36,N,,
12/04/24,Auburn,MBB,Dear Old Duke,Postgame,,84-78,N,,
12/04/24,Auburn,MBB,Break Your Heart,Pregame,,0-0,N,,
12/04/24,Auburn,MBB,Devil,Pregame,,0-0,N,,
12/04/24,Auburn,MBB,Can't,Pregame,,0-0,N,,
12/04/24,Auburn,MBB,Zing It!,Pregame,,0-0,N,,
12/04/24,Auburn,MBB,DJamite,Pregame,,0-0,N,,
12/04/24,Auburn,MBB,Love Runs Out,Pregame,,0-0,N,,
12/04/24,Auburn,MBB,Potential Breakup Song,Pregame,,0-0,N,,
12/04/24,Auburn,MBB,Fat,Pregame,,0-0,N,,
12/04/24,Auburn,MBB,Overpass,Pregame,,0-0,N,,
12/04/24,Auburn,MBB,Blue & White,Pregame,,0-0,N,,
12/04/24,Auburn,MBB,Can't,Pregame,,0-0,N,,
12/04/24,Auburn,MBB,That That,Pregame,,0-0,N,,
12/04/24,Auburn,MBB,Blue & White,Pregame,,0-0,N,,
12/04/24,Auburn,MBB,Dance the Night,Pregame,,0-0,N,,
12/04/24,Auburn,MBB,Animal,Pregame,,0-0,N,,
12/06/24,,,Fight Fight,,,,N,UNC WSOC Final Four,
12/06/24,,,Devil,,,,N,UNC WSOC Final Four,
12/06/24,,,Pumpkin,,,,N,UNC WSOC Final Four,
12/06/24,,,Devil,,,,N,UNC WSOC Final Four,
12/06/24,,,Fight Fight,,,,N,UNC WSOC Final Four,
12/06/24,,,Blue & White,,,,N,UNC WSOC Final Four,
12/06/24,,,Dear Old Duke,,,,N,UNC WSOC Final Four,
12/06/24,,,Blue & White,,,,N,UNC WSOC Final Four,
12/10/24,Incarnate Word,MBB,Devil,Postgame,,72-46,N,,
12/10/24,Incarnate Word,MBB,Dear Old Duke,Postgame,,72-46,N,,
12/10/24,Incarnate Word,MBB,Pumpkin,2H,2:58,70-41,N,,<4:00
12/10/24,Incarnate Word,MBB,Everytime,2H,2:58,70-41,N,,<4:00
12/10/24,Incarnate Word,MBB,Igor's Theme,Pregame,,0-0,N,,
12/10/24,Incarnate Word,MBB,Stacy's Mom,2H,7:58,54-30,N,,<8:00
12/10/24,Incarnate Word,MBB,Sail,2H,11:39,43-25,N,,<12:00
12/10/24,Incarnate Word,MBB,Spell,2H,11:39,43-25,N,,<12:00
12/10/24,Incarnate Word,MBB,Zing It!,2H,15:45,37-21,N,,<16:00
12/10/24,Incarnate Word,MBB,D. Ditty,2H,18:24,35-21,N,,
12/10/24,Incarnate Word,MBB,Wipeout,2H,18:24,35-21,N,,
12/10/24,Incarnate Word,MBB,That's What I Want,Halftime,,28-21,Y,,
12/10/24,Incarnate Word,MBB,Can't,Halftime,,28-21,N,,
12/10/24,Incarnate Word,MBB,Blue & White,Halftime,,28-21,N,,
12/10/24,Incarnate Word,MBB,Sail,1H,3:16,24-14,N,,<4:00
12/10/24,Incarnate Word,MBB,Fat,Pregame,,0-0,N,,
12/10/24,Incarnate Word,MBB,Uptown Funk,1H,7:31,12-10,N,,<8:00
12/10/24,Incarnate Word,MBB,Blue & White,1H,13:03,10-5,N,,<16:00
12/10/24,Incarnate Word,MBB,Fight Fight,1H,13:03,10-5,N,,<16:00
12/10/24,Incarnate Word,MBB,Mortal,Pregame,,0-0,N,,
12/10/24,Incarnate Word,MBB,Devil,Pregame,,0-0,N,,
12/10/24,Incarnate Word,MBB,Zing It!,Pregame,,0-0,N,,
12/10/24,Incarnate Word,MBB,Can't,Pregame,,0-0,N,,
12/10/24,Incarnate Word,MBB,Blue & White,Pregame,,0-0,N,,
12/10/24,Incarnate Word,MBB,Overpass,Pregame,,0-0,N,,
12/10/24,Incarnate Word,MBB,Runaway Baby,Pregame,,0-0,N,,
12/10/24,Incarnate Word,MBB,Blue & White,Pregame,,0-0,N,,
12/10/24,Incarnate Word,MBB,HOT TO GO!,1H,11:57,10-8,N,,<12:00
12/10/24,Incarnate Word,MBB,DJamite,Pregame,,0-0,N,,
